datetime,open,high,low,close,volume,kline_status
2022-05-23,2.812,2.812,2.795,2.795,29300.0,TREND_DOWN
2022-05-24,2.8,2.8,2.7925,2.794,20100.0,TREND_DOWN
2022-05-25,2.7945,2.795,2.76,2.76,41900.0,TREND_DOWN
2022-05-26,2.76,2.76,2.7375,2.74,52000.0,TREND_DOWN
2022-05-27,2.7425,2.7475,2.735,2.7475,39500.0,TREND_DOWN
2022-05-30,2.755,2.77,2.755,2.77,31000.0,TREND_UP
2022-05-31,2.7675,2.7975,2.7675,2.7925,40500.0,TREND_UP
2022-06-01,2.79,2.8,2.787,2.8,27700.0,TREND_UP
2022-06-02,2.8,2.8099,2.7925,2.805,25100.0,TREND_UP
2022-06-06,2.81,2.819,2.8025,2.818,23600.0,TREND_UP
2022-06-07,2.8175,2.8225,2.804,2.805,24700.0,TREND_UP
2022-06-08,2.8075,2.81,2.8025,2.8075,29000.0,TREND_DOWN
2022-06-09,2.8075,2.808,2.795,2.795,28900.0,TREND_DOWN
2022-06-10,2.795,2.805,2.79,2.7925,28600.0,TREND_DOWN
2022-06-13,2.7575,2.7675,2.755,2.766,15500.0,TREND_DOWN
2022-06-14,2.77,2.78,2.7675,2.77,28000.0,TREND_UP
2022-06-15,2.7725,2.7825,2.77,2.78,22800.0,TREND_UP
2022-06-16,2.775,2.7775,2.7705,2.775,17000.0,INSIDE
2022-06-17,2.77,2.775,2.7625,2.775,17400.0,TREND_DOWN
2022-06-20,2.775,2.785,2.775,2.7825,14000.0,TREND_UP
2022-06-21,2.79,2.79,2.781,2.7825,8500.0,TREND_UP
2022-06-22,2.78,2.7825,2.775,2.7775,20600.0,TREND_DOWN
2022-06-23,2.7725,2.7835,2.7725,2.78,13900.0,OUTSIDE
2022-06-24,2.7775,2.805,2.775,2.8,30400.0,TREND_UP
2022-06-27,2.815,2.8375,2.81,2.825,27800.0,TREND_UP
2022-06-28,2.825,2.8475,2.8225,2.84,21400.0,TREND_UP
2022-06-29,2.8375,2.84,2.8275,2.83,25300.0,INSIDE
2022-06-30,2.83,2.835,2.81,2.815,31500.0,TREND_DOWN
2022-07-01,2.815,2.83,2.8125,2.825,22800.0,INSIDE
2022-07-04,2.8225,2.85,2.821,2.8475,49300.0,TREND_UP
2022-07-05,2.85,2.855,2.8275,2.83,52000.0,TREND_UP
2022-07-06,2.825,2.8375,2.82,2.835,44500.0,TREND_DOWN
2022-07-07,2.835,2.84,2.8275,2.8375,31200.0,TREND_UP
2022-07-08,2.8375,2.8425,2.8325,2.8375,24200.0,TREND_UP
2022-07-11,2.835,2.835,2.815,2.8175,35100.0,TREND_DOWN
2022-07-12,2.8175,2.82,2.8075,2.8075,42400.0,TREND_DOWN
2022-07-13,2.805,2.813,2.796,2.805,48500.0,TREND_DOWN
2022-07-14,2.8025,2.805,2.7875,2.7875,43500.0,TREND_DOWN
2022-07-15,2.7925,2.7975,2.775,2.785,60000.0,TREND_DOWN
2022-07-18,2.7825,2.79,2.7775,2.7805,43500.0,INSIDE
2022-07-19,2.7825,2.79,2.7825,2.7855,34900.0,INSIDE
2022-07-20,2.7875,2.789,2.765,2.7675,71800.0,TREND_DOWN
2022-07-21,2.7675,2.7675,2.7575,2.764,42500.0,TREND_DOWN
2022-07-22,2.765,2.7877,2.765,2.7825,57900.0,TREND_UP
2022-07-25,2.785,2.7875,2.773,2.778,39900.0,INSIDE
2022-07-26,2.778,2.7825,2.766,2.77,45800.0,TREND_DOWN
2022-07-27,2.7675,2.7735,2.761,2.7675,45800.0,TREND_DOWN
2022-07-28,2.7675,2.7875,2.765,2.765,73100.0,TREND_UP
2022-07-29,2.7625,2.7625,2.75,2.755,55000.0,TREND_DOWN
2022-08-01,2.7375,2.74,2.7275,2.7295,44900.0,TREND_DOWN
2022-08-02,2.72,2.735,2.715,2.7275,67100.0,TREND_DOWN
2022-08-03,2.7375,2.742,2.7175,2.7175,67900.0,TREND_UP
2022-08-04,2.715,2.7225,2.705,2.719,65200.0,TREND_DOWN
2022-08-05,2.72,2.735,2.72,2.735,47600.0,TREND_UP
2022-08-08,2.7425,2.7425,2.73,2.7375,36200.0,TREND_UP
2022-08-09,2.74,2.747,2.733,2.7375,49100.0,TREND_UP
2022-08-10,2.7375,2.74,2.7275,2.734,43200.0,TREND_DOWN
2022-08-11,2.7375,2.739,2.7275,2.7275,28700.0,INSIDE
2022-08-12,2.7275,2.74,2.725,2.7275,56400.0,OUTSIDE
2022-08-15,2.7275,2.7275,2.65,2.65,75400.0,TREND_DOWN
2022-08-16,2.645,2.645,2.62,2.6325,55800.0,TREND_DOWN
2022-08-17,2.6325,2.644,2.621,2.6225,53300.0,INSIDE
2022-08-18,2.62,2.6275,2.605,2.61,47900.0,TREND_DOWN
2022-08-19,2.61,2.6275,2.61,2.625,47900.0,INSIDE
2022-08-22,2.6225,2.63,2.615,2.6275,38500.0,TREND_UP
2022-08-23,2.635,2.64,2.629,2.635,28600.0,TREND_UP
2022-08-24,2.635,2.64,2.6325,2.635,32400.0,INSIDE
2022-08-25,2.64,2.665,2.6375,2.66,47400.0,TREND_UP
2022-08-26,2.66,2.666,2.6525,2.6625,30400.0,TREND_UP
2022-08-29,2.6625,2.665,2.63,2.6325,24600.0,TREND_DOWN
2022-08-30,2.63,2.638,2.6275,2.6325,30800.0,TREND_DOWN
2022-08-31,2.635,2.645,2.6325,2.64,38100.0,TREND_UP
2022-09-01,2.643,2.645,2.6225,2.6225,58800.0,OUTSIDE
