datetime,open,high,low,close,volume,kline_status,raw_fractal,valid_fractal
2025-01-20,4504.5304,4534.688,4489.2797,4499.5431,21091592400,TREND_UP,TOP,
2025-01-21,4523.8705,4524.689,4482.1828,4507.0593,21210912800,TREND_DOWN,,
2025-01-22,4493.6205,4494.4742,4448.0149,4466.6551,19953274400,TREND_DOWN,BOTTOM,
2025-01-23,4504.5528,4545.7281,4463.8204,4463.9674,25618479900,TREND_UP,TOP,Tx
2025-01-24,4452.7746,4519.8617,4452.4294,4504.0095,22667902600,TREND_DOWN,BOTTOM,Bx
2025-01-27,4509.7196,4527.0514,4478.6606,4478.6606,21348344000,TREND_UP,TOP,
2025-02-05,4517.1745,4517.4112,4453.5422,4468.2444,25573904400,TREND_DOWN,BOTTOM,
2025-02-06,4462.0614,4541.5225,4460.4668,4540.9167,29111162900,TREND_UP,,
2025-02-11,4542.9589,4639.9645,4542.9589,4603.1353,36650113800,TREND_UP_(M),,
2025-02-12,4592.663,4653.5235,4586.0517,4652.6661,30272025400,TREND_UP,,
2025-02-14,4646.4603,4680.1814,4630.3711,4675.9742,32064929100,TREND_UP_(M),,
2025-02-17,4695.5307,4697.8616,4650.0489,4681.5176,35563339800,TREND_UP,TOP,Tx
2025-02-19,4676.1885,4676.1885,4614.6272,4674.2825,33496342000,TREND_DOWN_(M),BOTTOM,
2025-02-20,4669.6044,4681.2917,4647.2706,4667.8786,29715398300,TREND_UP,,
2025-02-21,4679.2669,4738.1411,4668.323,4734.8618,38744073800,TREND_UP,,
2025-02-24,4728.6681,4751.8401,4697.3004,4725.3504,37676799400,TREND_UP,TOP,T
2025-02-26,4675.9855,4712.9171,4661.3291,4712.6208,31445096700,TREND_DOWN_(M),BOTTOM,
2025-02-27,4715.1941,4726.8257,4666.3255,4712.3286,32230444300,TREND_UP,TOP,
2025-02-28,4690.2612,4710.3284,4600.869,4606.3568,30583004500,TREND_DOWN,,
2025-03-03,4619.522,4666.3872,4590.3388,4611.5773,28200319000,TREND_DOWN,,
2025-03-04,4582.4025,4619.6478,4571.5628,4613.7987,23490217300,TREND_DOWN,BOTTOM,Bx
2025-03-05,4616.5098,4637.184,4599.1608,4632.2461,24335878400,TREND_UP,,
2025-03-06,4658.7971,4714.4846,4654.3238,4704.5761,31204173300,TREND_UP,,
2025-03-07,4691.8949,4722.6451,4676.8803,4690.5557,31040655200,TREND_UP,TOP,Tx
2025-03-10,4695.0894,4703.3249,4647.87,4677.5246,26660176300,TREND_DOWN,,
2025-03-11,4627.4738,4692.0389,4626.0289,4692.0389,25654004000,TREND_DOWN,BOTTOM,
2025-03-12,4702.1785,4709.9874,4672.4411,4676.3047,27304930200,TREND_UP,TOP,Tx
2025-03-13,4674.3064,4685.5219,4627.2731,4648.5293,25623878000,TREND_DOWN,BOTTOM,Bx
2025-03-14,4656.8412,4760.5665,4656.0494,4755.1501,30542301200,TREND_UP,,
2025-03-17,4772.7865,4773.6669,4743.4303,4748.0978,25274333000,TREND_UP,,
2025-03-18,4765.914,4778.2563,4751.5728,4765.5534,23335675900,TREND_UP,TOP,
2025-03-19,4760.176,4777.9967,4735.3745,4758.8903,22534257300,TREND_DOWN,,
